Operación;Liquidación;Operación;Mercado;Operación;ISIN;Valor;Títulos/NOMINAL;Divisa;Precio Neto;Importe neto
2026-01-30 ;2026-02-03 ;252078099;XETRA;VENTA;IE00B579F325;INVESCO PHYSICAL GOLD ETC;1;EUR;402,78;402,78
2026-01-20 ;2026-01-21 ;250277102;CONTINUO;COMPRA;ES0126962069;NUEVA EXPRESION TEXTIL;250;EUR;0,87888;219,72
2026-01-16 ;2026-01-20 ;249998511;NASDAQ;VENTA;US00217D1000;AST SPACEMOBILE INC;4;USD;116,0275;464,11
2026-01-13 ;2026-01-14 ;249042740;CONTINUO;COMPRA;ES0126962069;NUEVA EXPRESION TEXTIL;310;EUR;0,9196129;285,08
2026-01-02 ;2026-01-05 ;246625684;CONTINUO;COMPRA;ES0142090317;OHL - OBRASCON HUARTE LAIN;850;EUR;0,3728353;316,91
2025-12-03 ;2025-12-04 ;243035482;NASDAQ;COMPRA;US00217D1000;AST SPACEMOBILE INC;2;USD;58,845;117,69
2025-12-03 ;2025-12-04 ;242984392;CONTINUO;COMPRA;ES0142090317;OHL - OBRASCON HUARTE LAIN;500;EUR;0,37122;185,61
2025-11-21 ;2025-11-25 ;240782617;XETRA;VENTA;IE000YYE6WK5;VANECK DEFENSE ETF;26;EUR;49,4853846;1286,62
2025-11-20 ;2025-11-24 ;240682607;LONDRES-SETS;COMPRA;GB0001500809;TULLOW OIL;1500;GBP;0,0882867;132,43
2025-10-17 ;2025-10-21 ;233283305;XETRA;COMPRA;IE00B579F325;INVESCO PHYSICAL GOLD ETC;1;EUR;353,96;353,96
2025-10-14 ;2025-10-15 ;231704887;NASDAQ;COMPRA;US00217D1000;AST SPACEMOBILE INC;2;USD;97,995;195,99
2025-10-06 ;2025-10-08 ;227935851;XETRA;COMPRA;IE000YYE6WK5;VANECK DEFENSE ETF;3;EUR;56,7666667;170,3
2025-09-25 ;2025-09-26 ;226086969;CONTINUO;VENTA;ES0126962069;NUEVA EXPRESION TEXTIL;300;EUR;0,6763;202,89
2025-09-24 ;2025-09-25 ;225940388;CONTINUO;COMPRA;ES0126962069;NUEVA EXPRESION TEXTIL;300;EUR;0,7497;224,91
2025-09-24 ;2025-09-26 ;225939042;XETRA;COMPRA;IE000YYE6WK5;VANECK DEFENSE ETF;2;EUR;53,855;107,71
2025-08-15 ;2025-08-18 ;219884886;CONTINUO;COMPRA;ES0109260531;AMPER;1000;EUR;0,13611;136,11
2025-07-16 ;2025-07-17 ;215942224;CONTINUO;VENTA;ES0609260973;AMPER DERECHOS 0725;1500;EUR;0,0000067;0,01
2025-07-03 ;2025-07-04 ;213865396;CONTINUO;COMPRA;ES0109260531;AMPER;1300;EUR;0,1391615;180,91
2025-07-03 ;2025-07-07 ;213676021;GENERICO;ALTA DCHOS. SUSCRIP.;ES0609260973;AMPER DERECHOS 0725;1500;EUR;0;0
2025-07-01 ;2025-07-02 ;213437825;CONTINUO;COMPRA;ES0109260531;AMPER;1500;EUR;0,14654;219,81
2025-06-10 ;2025-06-12 ;210438729;LONDRES-SETS;COMPRA;GB0001500809;TULLOW OIL;2000;GBP;0,19081;381,62
2025-02-19 ;2025-02-21 ;195431968;XETRA;COMPRA;IE000YYE6WK5;VANECK DEFENSE ETF;21;EUR;39,5428571;830,4
